0x10556 <main+198>:	bge	a5,a4,0x104de <main+78>
0x1055a <main+202>:	lw	a5,-24(s0)
0x1055e <main+206>:	addiw	a5,a5,1
0x10560 <main+208>:	sw	a5,-24(s0)
0x10564 <main+212>:	lw	a5,-24(s0)
0x10568 <main+216>:	sext.w	a4,a5
0x1056c <main+220>:	li	a5,1
0x1056e <main+222>:	bge	a5,a4,0x104d8 <main+72>
0x10572 <main+226>:	lw	a5,-20(s0)
0x10576 <main+230>:	addiw	a5,a5,1
0x10578 <main+232>:	sw	a5,-20(s0)
0x1057c <main+236>:	lw	a5,-20(s0)
0x10580 <main+240>:	sext.w	a4,a5
0x10584 <main+244>:	li	a5,1
0x10586 <main+246>:	bge	a5,a4,0x104d2 <main+66>
0x1058a <main+250>:	li	a5,0
0x1058c <main+252>:	mv	a0,a5
0x1058e <main+254>:	ld	s0,88(sp)
0x10590 <main+256>:	addi	sp,sp,96
0x10592 <main+258>:	ret
0x400083e74c <__libc_start_main+134>:	jal	ra,0x400084f2a6 <__GI_exit>
